REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1955-01-01,Northwest Territories including Nunavut,,v5,13,17000
1955-04-01,Canada,2016A000011124,v1,1,15620000
1955-04-01,Newfoundland and Labrador,2016A000210,v2,2,404000
1955-04-01,Prince Edward Island,2016A000211,v8,3,100000
1955-04-01,Nova Scotia,2016A000212,v9,4,681000
1955-04-01,New Brunswick,2016A000213,v10,5,546000
1955-04-01,Quebec,2016A000224,v11,6,4492000
1955-04-01,Ontario,2016A000235,v12,7,5236000
1955-04-01,Manitoba,2016A000246,v13,8,837000
1955-04-01,Saskatchewan,2016A000247,v14,9,877000
1955-04-01,Alberta,2016A000248,v15,10,1084000
1955-04-01,British Columbia,2016A000259,v3,11,1334000
1955-04-01,Yukon,2016A000260,v4,12,11000
1955-04-01,Northwest Territories including Nunavut,,v5,13,18000
1955-07-01,Canada,2016A000011124,v1,1,15736000
1955-07-01,Newfoundland and Labrador,2016A000210,v2,2,407000
1955-07-01,Prince Edward Island,2016A000211,v8,3,100000
1955-07-01,Nova Scotia,2016A000212,v9,4,684000
1955-07-01,New Brunswick,2016A000213,v10,5,548000
1955-07-01,Quebec,2016A000224,v11,6,4529000
1955-07-01,Ontario,2016A000235,v12,7,5278000
1955-07-01,Manitoba,2016A000246,v13,8,841000
1955-07-01,Saskatchewan,2016A000247,v14,9,879000
1955-07-01,Alberta,2016A000248,v15,10,1094000
1955-07-01,British Columbia,2016A000259,v3,11,1347000
1955-07-01,Yukon,2016A000260,v4,12,11000
1955-07-01,Northwest Territories including Nunavut,,v5,13,18000
1955-10-01,Canada,2016A000011124,v1,1,15834000
1955-10-01,Newfoundland and Labrador,2016A000210,v2,2,410000
1955-10-01,Prince Edward Island,2016A000211,v8,3,100000
1955-10-01,Nova Scotia,2016A000212,v9,4,688000
1955-10-01,New Brunswick,2016A000213,v10,5,550000
1955-10-01,Quebec,2016A000224,v11,6,4557000
1955-10-01,Ontario,2016A000235,v12,7,5311000
1955-10-01,Manitoba,2016A000246,v13,8,844000
1955-10-01,Saskatchewan,2016A000247,v14,9,880000
1955-10-01,Alberta,2016A000248,v15,10,1102000
1955-10-01,British Columbia,2016A000259,v3,11,1362000
1955-10-01,Yukon,2016A000260,v4,12,12000
1955-10-01,Northwest Territories including Nunavut,,v5,13,18000
1956-01-01,Canada,2016A000011124,v1,1,15919000
1956-01-01,Newfoundland and Labrador,2016A000210,v2,2,412000
1956-01-01,Prince Edward Island,2016A000211,v8,3,100000
1956-01-01,Nova Scotia,2016A000212,v9,4,690000
1956-01-01,New Brunswick,2016A000213,v10,5,552000
1956-01-01,Quebec,2016A000224,v11,6,4581000
1956-01-01,Ontario,2016A000235,v12,7,5344000
1956-01-01,Manitoba,2016A000246,v13,8,845000
1956-01-01,Saskatchewan,2016A000247,v14,9,879000
